屏声敛息,屏气敛息
拍案惊奇,拍案称奇
平凡,平常
排山倒海,铺天盖地
判若云泥,判若天渊
漂泊,飘浮
贫乏,贫穷
贫病交加,贫病交迫
片言一字,片言只字
贫弱,贫穷
排击,排挤
刨根究底,刨根问底
平淡无奇,平铺直叙
品行,品质
劈头,匹面
平时,普通
评头论脚,评头论足
偏私,偏袒
聘用,聘请
匍匐,爬行
漂荡,飘舞
匹夫沟渎,匹妇沟渠
疲困,疲惫
排出,排除
品德,品质
疲乏,疲惫
披头散发,蓬头垢面
屏声息气,屏气慑息
平庸,平方
平坦,平展
贫乏,贫苦
平淡,平常
平定,平息
平平淡淡,普普通通
偏私,偏颇
排击,排击
破碎,破裂
评比,评选
披垂,披散
贫贱之交,贫贱之知
飘荡,飘舞
破坏,破损
朴实,朴素
拼凑,拼集
平宁,平安
批亢捣虚,批吭捣虚
剖析,剖释
剖心坼肝,剖心析肝
排泄,排除
漂泊,漂流
赔礼,赔罪
蓬筚生辉,蓬荜增辉
僻静,平静
平居,平日
扑实,朴质
破耗,破钞
琵琶旧语,琵琶胡语
派司,牌照
品味,品尝
偏僻,偏远
攀话,攀谈
跑江湖,跑码头
贫无立锥,贫无置锥
拍手称快,普天同庆
平局,平手
批判,批评
排解,排遣
疲劳,疲钝
蓬头赤脚,蓬头跣足
骈肩叠迹,骈肩累迹
片时,片晌
片时,片霎
攀高接贵,攀龙附凤
叛变,叛逆
普及,普遍
剖心析胆,剖心析肝
旁征博引,旁求博考
偏爱,偏疼
评价,评估
平步青云,平步青霄
评断,评议
平地,平川
片瓦不留,片甲不留
疲劳,疲倦
攀高结贵,攀龙附凤
片言只语,片言只字
疲顿,疲钝
评价,评判
飘荡,飘摇
朋比为奸,朋比作奸
平易近人,平易近民
平安无事,平平安安
平缓,平静
偏执,偏激
片甲不存,片甲无存
平白无故,平白无辜
盘点,盘货
品头论足,品头题足
片刻,片霎
披肝露胆,披露肝胆
牝鸡晨鸣,牝鸡牡鸣
屏蔽,屏障
培养,培育
排斥异己,排除异己
攀援,攀附
烹调,烹饪
徘徊,盘桓
攀登,攀高
判断,剖断
偏爱,偏幸
片言只语,片纸只字
频仍,频繁
磐石之固,磐石之安
判定,剖断
派别,派系
片瓦不留,片瓦不存
披星戴月,披星带月
攀爬,攀缘
飘扬,飘零
拼命,拼死
迫不及待,迫在眉睫
平和,平易
批判,批驳
碰劲,碰巧
彷徨,盘桓
偏心,偏幸
滂沱,滂湃
片瓦无存,片瓦不存
漂荡,飘动
碰壁,碰鼻
抛清,撇清
偏向,偏袒
判若鸿沟,判若天渊
盘川,盘费
排忧解难,排难解纷
评论,评述
盘考,盘问
飘泊无定,飘蓬断梗
凭单,凭据
蓬首垢面,蓬头垢面
品德,品格
破瓦寒窑,蓬门荜户
匹夫匹妇,平民百姓
碰头,碰面
旁推侧引,旁敲侧击
破碎,破灭
朋侪,朋友
平心易气,平心静气
朴实无华,朴素无华
攀花折柳,攀花问柳
炮凤烹龙,烹龙炮凤
排出,排斥
劈面,扑面
扑素,朴质
徘徊,徬徨
平淡,平平
平平淡淡,平平常常
盼愿,盼望
披心沥血,披肝沥血
判断,判决
排沙简金,排沙见金
平整,平展
剖析,剖判
劈头,劈脸
脾性,脾气
匹配,配合
破旧不堪,破烂不堪
怦怦直跳,怦然心动
膨大,膨胀
偏向,偏差
庞大,庞杂
碰壁,碰钉子
平均,平衡
屏弃,抛弃
判若鸿沟,判若两人
瞟见,瞥见
旁搜博采,旁收博采
平素,平日
凭证,凭据
彭湃,澎湃
披览,披阅
聘任,聘请
贫寒,贫困
平心定气,平心静气
平允,平正
披枷带锁,披枷戴锁
骈肩叠迹,骈肩接迹
盘查,盘诘
排演,排练
培养,培植
破旧,破烂
铺张扬厉,铺张浪费
贫嘴薄舌,贫嘴贱舌
叛变,叛乱
披沥肝胆,披沥肝膈
披毛求瑕,批毛求疵
毗连,毗邻
配偶,配头
庞眉皓发,庞眉皓首
攀藤揽葛,攀藤附葛
评头论脚,评头品足
破费,破钞
飘萍断梗,飘蓬断梗
披沥肝胆,披肝沥胆
彭胀,膨胀
判词,判语
排沙简金,披沙拣金
披发左衽,披发文身
平素,平昔
披红戴花,披红挂彩
偏偏,偏巧
普度众生,普度群生
平缓,平稳
漂浮,漂流
劈头盖脸,铺天盖地
披沙沥金,披沙拣金
仆人,仆役
品头评足,评头品足
平头百姓,平民百姓
噗咚,噗哧
劈波斩浪,披荆斩棘
排山倒海,排山压卵
霹雳,霹雷
偏听偏信,偏听则暗
平地一声雷,平地风雷
攀车卧辙,攀辕卧辙
劈荆斩棘,披荆斩棘
偏听偏信,偏信则暗
匍匐,蒲伏
胼手胝足,胼胝手足
鹏程万里,鹏霄万里
旁门左道,旁门外道
贫病交攻,贫病交迫
陪伴,陪同
凭仗,凭借
平白无故,凭白无故
片断,片段
叵奈,叵耐
破矩为圆,破觚为圜
拍手称快,拍手叫好
皮里春秋,皮里阳秋
琵琶别弄,琵琶别抱
破涕为笑,破颜一笑
扑打,扑挞
破釜沉舟,破釜焚舟
牌坊,牌楼
破涕为笑,破愁为笑
品评,批评
旁推侧引,旁指曲谕
拼命,拚命
佩带,佩戴
