信口开喝,信口开河
遐思,遐想
心如死灰,心灰意冷
相接,衔接
销子,销钉
心在魏阙,心瞻魏阙
夕晖,夕阳
雄心勃勃,雄心壮志
喧嚣,宣闹
胸无城府,胸有城府
嬉皮笑脸,嬉笑怒骂
笑哈哈,笑嘻嘻
新闻,消息
选兵秣马,选士厉兵
喜笑颜开,笑逐颜开
相似,相符
相见,相逢
虚假,虚幻
显露,泄露
虚憍,虚骄
形劫势禁,形格势禁
血流成河,血流成渠
心向往之,馨香祷祝
相接,相连
戏弄,戏谑
稀奇,稀少
学塾,学校
牺尊,牺牛
协助,协理
星星点点,星星落落
训戒,训诫
兴妖作怪,兴风作浪
夏虫疑冰,夏虫语冰
心思,心情
现存,现有
心如悬旌,心神不定
相连,衔接
雄壮,雄浑
限制,限度
胸宇,胸怀
薪桂米珠,薪桂米金
稀疏,稀零
巡回,巡行
学塾,学宫
幸好,辛亏
贤良,贤达
寻视,巡视
凶悍,凶残
笑容,笑脸
效尤,效法
心痒难挝,心痒难挠
行同狗彘,行若狗彘
息款,息钱
修缮,修葺
兴趣盎然,兴高采烈
心口不一,炫石为玉
校对,校阅
喜不自胜,喜形于色
细致,详细
休息,休憩
心伤,心酸
幸亏,幸而
喜不自禁,欣喜若狂
西式,西法
嫌隙,心病
形踪,形迹
凶恶,犀利
洗沐,洗澡
县令,县长
凶悍,凶狠
悬头刺股,悬梁刺股
心情,心理
行囊,行李
雪窗萤几,雪窗萤火
巡回,巡游
巡查,巡视
喜从天降,喜出望外
星星之火,星火燎原
训导,训诲
宣传,宣称
选拔,选择
兴高采烈,心花怒发
心悦诚服,心甘情愿
寻根究底,寻根问底
心中芥蒂,心存芥蒂
仙姿玉色,仙姿玉质
形似,相仿
辛劳,辛勤
秀丽,秀气
喧喧,喧闹
信托,信赖
蓄志,蓄意
凶暴,凶狠
稀少,稀罕
岘山情,岘山泪
心惊肉跳,心惊胆落
巡哨,巡视
信息,新闻
显露,泄漏
心口不一,胸无城府
校正,校订
下车伊始,新来乍到
相遇,邂逅
心不在焉,心猿意马
仙游,牺牲
相对如宾,相待如宾
贤才君子,贤良方正
限定,限度
先下手为强,先发制人
削铁如泥,新发于硎
鲜嫩,鲜活
兴奋,兴盛
闲扯,闲谈
喜报,喜讯
喜气洋洋,笑逐颜开
绚烂,鲜艳
享受,享福
凶暴,凶横
秀丽,绚丽
显要,显达
形容,形色
贤能,贤良
胸中丘壑,胸有丘壑
兴奋,兴隆
心乱如丝,心乱如麻
选贤与能,选贤任能
学友,校友
险遭不幸,险遭不测
协理,襄理
协助,襄助
心荡神摇,心荡神移
腥风血雨,血雨腥风
仙山楼阁,仙山琼阁
形似,相似
心灵手巧,心灵手敏
洗沐,洗浴
休息,小憩
凶险,邪恶
新奇,新颖
兴废,兴衰
熊罴之士,熊虎之士
新鲜,鲜嫩
消灭,销毁
心花怒放,欣喜若狂
雪恨,雪耻
雄心万丈,雄心壮志
详备,详尽
先声夺人,先礼后兵
响彻云际,响彻云霄
序言,绪论
选取,选拔
训练有方,训练有素
喜欢,心爱
学徒,学生
雄兵,雄师
朽木不可雕,朽木不雕
喜怒哀乐,喜怒无常
喧嚣,喧嚷
兴致勃勃,兴趣盎然
新仇旧恨,血海深仇
血肉模糊,血肉横飞
秀丽,秀雅
遐迩着闻,遐迩闻名
心悦神怡,心旷神怡
仙姿佚貌,仙姿玉质
希奇,新奇
相关,相干
显贵,显赫
向平之愿,向平愿了
响和景从,响答影随
心花怒发,心花怒开
系累,系缚
羞耻,羞辱
形而上学,玄学
喜笑颜开,嬉皮笑脸
潇洒悠闲,逍遥自得
呴湿濡沫,相濡以沫
喜形于色,喜见于色
相仿,相像
晓喻,晓谕
心照不宣,心领神悟
瑕玷,瑕疵
心心相印,心领神会
小巫见大巫,相形见绌
形影不离,形影相随
形态,形状
心仪,心动
稀疏,稀薄
效劳,效率
闲荡,闲逛
心如刀绞,心痛如割
学富五车,学贯中西
训斥,训责
洗浴,洗澡
新鲜,鲜活
喜上眉梢,喜笑颜开
习性,习惯
形似,相像
晓行夜住,晓行夜宿
系风捕影,系风捕景
心理,心绪
形象,现象
心如死灰,心灰意懒
下沉,下降
雪泥鸿迹,雪鸿指爪
消失,消灭
逍遥自在,逍遥自得
兴兵,兴师
性子,性质
叙说,叙述
心如刀割,心如刀绞
相反,相悖
兴味索然,心灰意冷
行家里手,训练有素
信息,讯息
心怀叵测,笑里藏刀
形式,形状
心思,心术
下不了台,下不来台
悬崖峭壁,悬崖绝壁
喜信,喜讯
兄死弟及,兄终弟及
修理,修茸
相悖,相背
心怀若谷,虚怀若谷
