敝绨恶粟,敝衣粝食
天塌地陷,天摧地塌
称号,称谓
不够,不足
雕虫小技,雕虫末伎
出色,特出
废止,废除
风仪,风采
多一事不如少一事,多一事不如省一事
恩断义绝,恩断意绝
贪污腐化,贪赃枉法
探骊得珠,探骊获珠
凋零,腐朽
打斗,斗殴
反常,颠倒
天旋地转,头晕目眩
波折,防碍
惨不忍闻,惨绝人寰
抟空捕影,捕风捉影
揣摸,猜想
腐朽,腐烂
复宗绝嗣,覆宗灭祀
大刀阔斧,大刀阔斧
缠夹不清,缠杂不清
敷衍了事,敷衍塞责
台甫,大名
处理,处罚
得陇望蜀,贪猥无厌
拆台,捣蛋
堕泪,抽泣
天平地安,风调雨顺
悼惜,痛悼
粗劣,粗糙
部队,队伍
崇拜,推崇
仓卒,仓猝
出乎意料,突出其来
反躬自省,反躬自问
团圆,团聚
布置,陈设
反响,反映
趁人之危,趁火打劫
粗暴,粗犷
堕落,腐化
头梢自领,头稍自领
奔轶,奔逸
大失所望,悲从中来
听命,服从
烦恼,烦躁
天下无敌,天下第一
不失毫厘,不差毫厘
大权独揽,独断专行
察访,查访
不期而会,不期而遇
天井,庭院
同宗,同族
胆大包天,胆大如斗
充分,充沛
恩典,恩泽
不胜枚举,不计其数
投隙抵巇,投隙抵罅
储积,补偿
悲伤,颓废
抵赖,推托
丰功懿德,丰功茂德
本支百世,本枝百世
刀笔,词讼
豺狼塞路,豺狼横道
博闻强志,博闻强识
饭铺,饭馆
倒戈一击,倒打一耙
洞幽烛微,洞隐烛微
不合时宜,不合时尚
笨鸟先飞,跛鳖千里
分袂,辨别
肥沃,肥饶
刀山剑树,刀山火海
担搁,耽搁
砥砺,雕琢
地覆天翻,天崩地裂
白鱼入舟,白鱼登舟
天禀,天赋
杯中蛇影,杯影蛇弓
父老,长者
誊写,钞写
滴水不漏,颠扑不破
风言风语,飞短流长
叹为观止,登峰造极
浮图,浮屠
放浪不拘,放浪无羁
怅然,痛惜
徜徉,逗留
刀下留人,刀下留情
不甘落后,不甘雌伏
惩办,惩罚
逃杨,逃禅
别出新裁,别出机杼
不计其数,成千上万
摈除,斥逐
场合,场地
偷偷摸摸,藏头露尾
胆战心惊,胆战心慌
粗壮,粗大
放浪,猖狂
半壁江山,豆剖瓜分
兵多将广,兵强将勇
簠簋不饰,簠簋之风
斑斓,灿烂
暴徒,歹徒
丁宁,叮属
参差不齐,错落有致
推度,推想
大言不惭,滔滔不绝
不停,不息
把酒持螯,持螯把酒
东扯西拉,东扯西拽
创办,创建
并辔齐驱,并驾齐驱
泛泛,通常
别具一格,独树一帜
撤退,除去
担任,负责
仇视,敌视
场所,方位
发作,发火
东南之宝,东南竹箭
倡导,提议
大吵大闹,畅叫扬疾
风姿绰约,风韵犹存
白头偕老,白头相守
痛斥,驳斥
反复无常,苍黄翻覆
东扶西倒,东歪西倒
地利人和,得天独厚
处分,处理
才具,才气
得过且过,粗制滥造
揣摩,猜想
粗暴,粗野
倒持干戈,倒持泰阿
伏低做小,巴结奉承
承当,担负
动乱,动荡
拔萃出类,拔萃出类
烦文缛礼,繁文缛节
分辩,辩别
倒行逆施,大逆不道
得病,抱病
分别,分手
唾地成文,脱口成章
拖延,逗留
杯弓蛇影,杯影蛇弓
杜门不出,韬光隐晦
大展宏图,大展经纶
不约而同,不谋而合
调动,调理
匆忙,匆急
发扬光大,阐扬光大
讨论,辩论
推度,猜测
偷天换日,抽梁换柱
参加,插足
不期而遇,不谋而合
对换,对调
打击,挫折
倒塌,崩塌
才具,本领
扶病,抱病
不矜不伐,不耻下问
笨嘴拙舌,笨嘴笨舌
铁案如山,铁证如山
纷纷扬扬,纷纷洋洋
宝物,宝贝
吩咐,打发
帮助,扶植
承受,承袭
不打不成相识,不打不相识
戴笠乘车,车笠之盟
闭门不出,韬匮藏珠
保卫,防守
颓丧,颓落
绰有余裕,绰绰有余
分别,辨别
拔宅上升,拔宅飞升
闭门思愆,闭门思过
呆子,白痴
发人深省,发人深醒
不仅,不只
醇厚,醇朴
殚精极思,殚精极虑
发现,浮现
促成,推进
不可告人,别有用心
铜城铁壁,铜墙铁壁
创剧痛深,创巨痛深
体贴入妙,体贴入妙
不拘一格,不落俗套
不明事理,不知轻重
多多益办,多多益善
防备,防止
头昏眼花,头昏脑眩
抱薪救火,负薪救火
发生,暴发
层出不穷,层见迭出
天地长久,天崩地裂
发卡,发夹
反抗,抵御
成效,成果
不断,不竭
猝然,突然
贩夫皂隶,贩夫走卒
村夫俗子,村夫野老
不安,但心
发傻,发姣
充塞,填塞
聪明才智,聪明智慧
分辩,辞别
摧残,荼毒
辩论,辩说
答应,订交
出何典记,出何经典
惩恶扬善,遏恶扬善
特征,特点
噩耗,噩讯
同舟共济,同舟而济
单人独马,单刀赴会
听其自然,听天由命
搪瓷,珐琅
不二法门,必由之路
通晓,通达
弹尽援绝,弹尽粮绝
天堂地狱,天壤之别
到场,参与
杜口,闭口
妇姑勃溪,妇姑勃溪
帮忙,帮衬
曾经沧海,饱经风霜
恶果,成果
点指画字,点纸画字
童衣,童装
鞭挞,鞭策
别树一帜,标新立异
百死一生,逃出生天
炊臼之戚,炊臼之痛
凋落,雕零
不折不挠,不挠不折
表里相济,被山带河
不可胜数,不计其数
标奇立异,标新立异
不丰不杀,不多不少
凤友鸾交,凤友鸾谐
出言不逊,大吹大擂
大张其词,大言不惭
佛寺,梵刹
絺章饰句,絺绘章句
才具,才智
反响,反应
步兵,步卒
当机不断,迟疑不决
颠扑不破,颠簸不破
拔来报往,跋来报往
鞭辟入里,鞭辟近里
抬举,抬爱
打消,撤销
大发雷霆,大肆咆哮
忖度,忖测
报酬,酬报
繁荣兴旺,繁荣昌盛
动摇,迟疑
防守,防御
复杂,繁杂
探求,查办
不劳而获,不劳而食
充分,充塞
东山再起,大张旗鼓
出入无间,畅通无阻
奔驰,驰骋
倒果为因,本末倒置
停当,妥帖
败兴而归,败兴而返
得意,风景
刺骨,透骨
成亲,成婚
背城借一,背水一战
低下,卑下
冲突,辩论
不快,痛苦
偷活,贪生
戴天蹐地,戴清履浊
发作,发生
寸丝不挂,赤身露体
蜚短流长,飞流短长
恩惠,恩泽
防备,防范
兵慌马乱,兵连祸结
发憷,犯憷
冲突,顶牛
伐毛换髓,伐毛洗髓
韬光灭迹,韬迹隐智
表面功夫,表面文章
诚心,诚恳
腐化,腐蚀
费力,费劲
跋山涉水,风餐露宿
称心如意,踌躇满志
才华横溢,才高八斗
包括,包罗
丢盔卸甲,丢盔抛甲
百无一是,百无一用
丰富,充足
甜头,长处
寸有所长,尺短寸长
凋射,凋谢
不可收拾,土崩瓦解
从军,投军
百僚,百寮
田父之功,田父之获
初生之犊不畏虎,初生牛犊不怕虎
放浪不拘,放荡不羁
推卸,推脱
嗤笑,嘲弄
停战,停火
腐朽,腐臭
带月披星,戴月披星
分列,布列
对照,范例
仿制,仿照
铁杵成针,铁杵磨针
超群拔萃,超群轶类
乘人之危,乘虚而入
贪求无厌,贪求无已
丢三落四,粗枝大叶
被坚执锐,被甲执锐
残杯冷炙,残羹冷炙
步行,步辇儿
耳食之论,耳食之谈
同甘共苦,同舟共济
地址,地点
调停,调解
不屈,不服
登门谢罪,负荆请罪
发奋,奋发
哺糟歠漓,餔糟啜漓
充分,充裕
变化无常,变化莫测
伏贴,妥善
恩仇,恩怨
不相上下,并行不悖
电扇,风扇
低眉顺眼,低首下心
同利相死,同恶相济
打倒,推倒
从容不迫,从容自如
不劣方头,不通时宜
饱经忧患,饱经风雨
奉为圭臬,奉若神明
承担,担负
凡是,通常
餐风宿草,餐风宿露
代办,代庖
拜谒,访问
不可限量,不可估量
特出,特别
大众,大家
