剧本,脚本
屏声敛息,屏气敛息
对抗,顽抗
木鸡之呆,目瞪口呆
势不两立,水火不相容
拍案惊奇,拍案称奇
互换,交流
大惊小怪,蜀犬吠日
完满,齐全
尸骸,死尸
毒辣,狠毒
棋逢对手,棋逢对手
定例,定规
花街柳巷,花街柳市
明珠弹雀,隋珠弹雀
平凡,平常
局限,节制
救过不暇,救过不给
委曲求全,逆来顺受
善恶不分,泾渭不分
深奥,艰深
天造地设,神工鬼斧
沮丧,颓败
浑浑噩噩,混混噩噩
男人,男子
急忙,急遽
随地随时,随时随地
积存,积聚
木已成舟,米已成炊
欢天喜地,眉飞色舞
文书,通告
大敌当前,生死攸关
排山倒海,铺天盖地
伺候,侍奉
天禀,天资
暖锅,火锅
奸人,歹徒
史书,史籍
纠缠,轇轕
生花妙笔,画龙点睛
完整,统统
坚不可摧,稳如泰山
借题发挥,大做文章
委靡不振,面黄肌瘦
勉励,驱策
豁然开朗,豁然贯通
话中带刺,话里带刺
万物更新,耳目一新
担纲,担负
恰到好处,恰如其分
漫笔,短文
扞拒,抵御
赏玩,鉴赏
打扮,梳妆
舍本求末,舍本逐末
好奇,纳闷
东奔西撞,东碰西撞
批注,诠释
取消,讪笑
抉目东门,抉目吴门
事倍功半,舍本逐末
五彩斑斓,色彩斑斓
满山遍野,漫天遍地
瓮中捉鳖,胜券在握
大概,大致
清晰,清澈
大公无私,舍身求法
妻子,配头
判若云泥,判若天渊
首尾相应,首尾相救
漂泊,飘浮
声名远播,闻名遐迩
攀高接贵,趋炎附势
明后,通明
金科玉律,金科玉条
宛延,曲折
平缓,缓和
寂寞,寂寥
无所畏惧,无私无畏
斗鸡走狗,无所事事
得意洋洋,眉飞色舞
济世安民,济世安邦
切记,紧记
决一死战,破釜沉舟
美名,隽誉
锻练,陶冶
枉口嚼舌,枉口诳舌
浩然之气,浩然正气
岁暮,年尾
合浦珠还,合浦还珠
稳固,结识
纠集,集结
似乎,彷佛
吐逆,呕吐
德才兼备,德高望重
停留,盘桓
绘声绘色,维妙维肖
逆天背理,逆天违理
大伙,群众
戴月披星,起早贪黑
明光烁亮,明光锃亮
年事,年岁
司空见惯,见惯不惊
击败,打败
含羞待放,豆蔻年华
五尺之童,五尺童子
亲爱,敬爱
倒台,塌台
讷言敏行,谨言慎行
同日而语,混为一谈
回心转意,弃旧图新
挽救,救济
撒播,散步
教会,教化
巅峰,极峰
亲事,婚事
天道好还,恶有恶报
矢誓,赌咒
井底之蛙,井底鸣蛙
马革盛尸,马革裹尸
局势,时事
挥戈反日,挥日阳戈
切理厌心,切理餍心
深信,笃信
少见多怪,见识浅短
千虑一得,抛砖引玉
舒徐,舒缓
劈面,对面
捏手捏脚,捻脚捻手
尖酸克薄,尖酸刻薄
好佚恶劳,好逸恶劳
暖和,温煦
五体投地,顶礼膜拜
活蹦乱跳,活蹦活跳
焕然一新,焕然如新
贫乏,贫穷
那儿,那里
前事不忘，后事之师,前车之覆，后车之鉴
填充,弥补
倒背如流,对答如流
爽利,爽气
天从人愿,求仁得仁
唯利是视,惟利是视
守卫,护卫
斗气,赌气
井蛙之见,瓮天之见
岂非,难道
冒失,莽撞
舒坦,舒心
图谋不轨,居心叵测
带动,带头
旧念复萌,旧病复发
含义,涵义
夙兴夜寐,夙兴昧旦
违反,违犯
托庇,托福
赧然,赧赧
旁门左道,歪门邪道
嘁嘁喳喳,嘁嘁嚓嚓
委派,委用
完好,完美
明镜高悬,洞烛奸邪
得意扬扬,手舞足蹈
惊慌失措,惶恐不安
街谈巷语,街谭巷议
同心同德,同舟共济
矜持,谦和
丧魂落魄,神不守舍
侵扰,骚动
畏怯,畏惧
求亲告友,求亲靠友
混淆黑白,颠三倒四
问题,题目
庞杂,混乱
教会,教养
平板,死板
戒备,警戒
难乎为继,难以为继
剿除,清剿
雕刻,雕琢
朋党比周,结党营私
纳垢藏污,纳污藏垢
寒舍,蓬荜
宏伟,庞杂
卷发,鬈发
怠忽,马虎
芜秽,荒凉
独一无二,独步一时
奇特,神奇
慌慌张张,魂不附体
借口,捏词
刁滑,奸诈
绝无仅有,见所未见
三亲六故,三朋四友
抟心壹志,抟心揖志
欢乐,欢腾
为富不仁,土豪劣绅
凋谢,衰落
警告,警戒
巧言令色,甜言蜜语
和平共处,和睦相处
清词丽句,清辞丽曲
水手,海员
几许,多少
体例,体制
晚节不保,晚节不终
水滴,水点
手段,手法
交兵,交手
枉费心血,枉费心计
单手,徒手
朴实,节俭
逃墨,逃禅
三思而后行,深思熟虑
患难之交,生死之交
大惊失色,惊魂未定
经世之才,经济之才
交代,叮嘱
鸿篇巨帙,鸿篇巨著
取代,替代
奸滑,奸猾
天差地别,天悬地隔
骄奢淫佚,骄奢淫逸
平日,通常
叫花子,托钵人
无关紧要,无足轻重
举世无双,绝无仅有
戒备,警告
举重若轻,精明强干
都门,首都
大路,通衢
气宇不凡,气宇轩昂
好像,宛然
倏忽,顿然
倾肝沥胆,披肝沥胆
桑中之约,桑间之约
交换,调换
私交,私情
好货,妙品
倾家荡产,家徒四壁
天后,破晓
弃明投暗,明珠暗投
团结互助,守望相助
嫩枝,嫩芽
僻静,寂寞
得心应手,轻车熟伙
独树一帜,独竖一帜
收效,见效
屏气凝神,聚精会神
视察,调查
急如星火,火烧眉毛
死灭,逝世
断齑画粥,节衣缩食
儿子,男儿
往来,往还
举世,全球
叫苦不迭,叫苦连天
排山倒海,气势磅礴
寂寥,寂然
努力,竭力
冬日可爱,和蔼可亲
完毕,完结
怂恿,煽惑
完婚,结婚
探寻,探索
势成骑虎,进退维谷
委靡,疲劳
申报,申诉
荒淫无度,荒淫无耻
市无二价,童叟无欺
是非,黑白
委曲求全,退避三舍
交代,交接
亨通,顺遂
嘉名,美名
天冠地屦,天差地别
济困扶危,见义勇为
伪造,杜撰
家常里短,家长里短
南柯一梦,槐南一梦
大动干戈,大打出手
害怕,惊恐
勉强,尽力
悄悄,默默
佶屈聱牙,诘诎聱牙
减省,节减
能上能下,能官能民
欢送,送行
晴天霹雳,祸从天降
声色狗马,身败名裂
明了,明晰
怕死贪生,贪生怕死
僵化,僵硬
倾覆,颠覆
欢乐,欢娱
赫赫有名,鼎鼎大名
纠缠,胶葛
明日,通晓
全数,全面
擎天架海,檠天架海
坚挺,坚硬
偷鸡摸狗,偷鸡盗狗
寒碜,寒酸
大公无私,舍己为人
无人之地,无人之境
失败,打击
扫除,袪除
无所顾惮,肆无忌惮
奸滑,狡滑
乔妆改扮,乔装改扮
事必躬亲,身体力行
尽是,满是
妥当,恰当
东南之秀,东南竹箭
妄想,打算
丧魂失魄,丧魂落魄
岁月,时期
探口而出,脱口而出
无足轻重,牛溲马勃
亲善,亲睦
精粹,精练
攀今掉古,谈古论今
牵强附会,生拉硬扯
侵掠,抢掠
宁静,恬静
大相径庭,天壤之别
教悔,教育
泥塑木雕,铁石心肠
胆大妄为,轻举妄动
旁若无人,目中无人
囤积居奇,待价而沽
善意,好意
即位,登位
情况,景况
冻结,凝结
讪谤,诬蔑
大显神通,身手不凡
全都,统统
浓墨涂抹,浓墨重彩
同意,订定
痊可,痊愈
名不虚传,名副其实
调治,调理
商标,牌号
密不透风,密密麻麻
紧急,迫切
会计,司帐
堆积如山,数不胜数
头颅,脑壳
到达,达到
贫病交加,贫病交迫
恍然大悟,憬然有悟
势不可当,势不可挡
会合,集中
熟视无睹,视而不见
紧张,紧绷
家眷,眷属
宁静,寂寞
顶天立地,顶天而立
东摇西摆,首鼠两端
妄图,妄想
东窗事发,水落石出
俭仆,节俭
乌黑,漆黑
刁猾,狡猾
失期,食言
品德,德性
恩同父母,恩逾慈母
木材,木柴
危崖,绝壁
神不守舍,神不收舍
恬逸,舒适
何乐不为,迫不得已
浓郁,浓重
毛发耸然,毛骨悚然
兼听则明,集思广益
打家劫舍,谋财害命
猛虎出山,猛虎离山
坚强不屈,坚贞不屈
闳意妙指,闳意眇指
酒肉兄弟,酒肉弟兄
思量,缅怀
健壮,健康
境遇,际遇
前代,前辈
土牛木马,土鸡瓦犬
厮混,胡混
和平,和缓
劝止,劝阻
假冒,假装
戴月披星,水宿风餐
鸠占鹊巢,鸠居鹊巢
德性,德行
年光,时光
搜索,搜罗
见利忘义,见钱眼开
华冠丽服,峨冠博带
合情合理,荒诞不经
围绕,环抱
倒行逆施,逆施倒行
神魂荡扬,神魂荡飏
适合,适当
担任,担负
疏忽,纰漏
满山遍野,漫山遍野
挺身而出,毛遂自荐
借口,托词
大快朵颐,大饱口福
顺藤摘瓜,顺藤摸瓜
禁锢,羁系
欺骗,骗取
举荐,推荐
多此一举,明知故问
得罪,获咎
土豪劣绅,达官显宦
密集,聚集
婉曲,微辞
俭约,扑实
俊秀,清秀
慎密,精密
明白,通晓
好意,美意
明灭,闪耀
进度,进程
俭约,节流
情难自禁,身不由己
无穷,无量
青灯黄卷,黄卷青灯
吞吞吐吐,闪烁其辞
耳习目染,耳濡目染
矢语,赌咒
坚苦,贫困
死亡,物化
合意,满意
握瑜怀玉,文章星斗
天塌地陷,山摇地动
年深岁久,年深日久
无病呻吟,矫柔造作
名不副实,徒有虚名
穷寇勿迫,穷寇勿追
妄作胡为,无法无天
素不相识,素未谋面
吞吐,含糊
商店,市廛
谈古说今,谈笑风生
浅显,浅近
堂堂正正,大公无私
污蔑,诬蔑
名不副实,名不符实
三心二意,三翻四复
极峰,顶峰
含蓄,间接
检讨,检验
借单,借条
缓慢,舒徐
慢吞吞,慢悠悠
弃恶扬善,遏恶扬善
疏落,荒凉
会见,见面
外厉内荏,外强中干
无赖,混混
交游,往来
倏然,瞬间
患得患失,斤斤计较
经文纬武,经武纬文
呵斥,谴责
食古不化,食而不化
尽头,极端
千里无烟,荒无人烟
简易,简陋
短吃少穿,饥寒交迫
诘曲聱牙,诘诎聱牙
适合,适宜
徒劳无功,掘地寻天
登峰造极,跻峰造极
呵斥,呵责
片言一字,片言只字
杀鸡取卵,涸泽而渔
斡旋,调解
平滑,滑腻
无声无息,无声无臭
多如牛毛,数不胜数
寺院,庙宇
鸡毛蒜皮,鸡零狗碎
私下,私自
简洁,简略
失掉,损失
凝结,凝集
瓮中之鳖,瓮中捉鳖
儿童,童子
交情,情谊
坏处,欠缺
目瞪口呆,目瞪口张
推动,激动
双管齐下,齐头并进
急中生智,情急智生
听之任之,听天由命
互助,合作
帷箔不修,帷薄不修
微小,微弱
少顷,顷刻
神态,神情
记叙,记述
年岁,年数
泼冷水,泼凉水
俊逸,洒脱
精干,精悍
名流,闻人
糜费,耗费
瘠薄,贫瘠
唾手可得,手到擒来
穷奢极侈,荒淫无度
惊怕,畏惧
奢望,奢求
贫弱,贫穷
书牍,书翰
动乱,骚乱
说长道短,说黄道黑
聚积,鸠集
束厄,牵制
尽然,居然
欺骗,糊弄
涕泗交颐,涕泗横流
精密,精细
突然,陡然
积少成多,聚沙成塔
交流,换取
井然有序,井然有条
气冲霄汉,气逾霄汉
忽视,纰漏
忽视,怠忽
他乡,外乡
头目,首领
枉费心机,海底捞月
九牛一毛,情系沧海
望秋先零,未老先衰
其应如响,其应若响
大度,美丽
事态,时势
接近,迫近
声威大震,声震天下
娶妻,结婚
请安,问安
望眼欲穿,望穿秋水
纨绔子弟,花花太岁
井底之蛙,井底蛤蟆
平步青云,青云直上
汇聚,汇集
地皮,地盘
身材,身段
地方,地点
停留,停顿
和平,平和
低声密谈,窃窃私议
思量,惦记
命途坎坷,江河日下
满不在乎,等闲视之
弟妇,弟媳
吉光片羽,奇珍异宝
拖累,牵累
怀恋,眷念
滴水穿石,铁杵磨针
急时抱佛脚,江心补漏
卖儿鬻女,卖男鬻女
货赂公行,贿赂公行
大惑不解,茫然不解
东奔西跑,东跑西奔
庆祝,庆贺
即刻,随机
耳濡目染,耳闻目染
同等看待,等量齐观
温存,温文
坚定不移,坚贞不渝
侮慢,怠慢
天下第一,无出其右
抬举,提拔
建树,确立
叮咛,叮属
雕琢,雕镂
审几度势,审时度势
上床,就寝
美丽,美好
三俗,媚俗
俄顷,少间
刁悍,强横
惋惜,痛惜
亲密,亲昵
首善之区,首善之地
锦绣山河,锦绣江山
书僮,书童
体会,体味
独有,私有
惊奇,惊讶
填塞,满盈
扑灭,肃清
轻佻,轻薄
排击,排挤
掂斤估两,掂斤播两
倘佯,徘徊
仆众,奴仆
亲善,和好
天理难容,天诛地灭
期望,期许
四季,四序
拿手,擅长
南山可移,坚定不移
受罚,受罪
摄取,汲取
奇丽,美丽
回复,回话
灯红酒绿,穷奢极欲
清白,皎洁
呆板,呆滞
磨砺,磨练
交涉,谈判
奸刁,狡猾
阶级,阶级
爽直,爽脆
惧怕,畏怯
手段,技巧
前所未有,前所未闻
势力,权力
轻举妄动,鼠目寸光
奇妙,美妙
同伙,同盟
匹夫之谅,匹夫小谅
收视返听,聚精会神
食不充口,食不糊口
