平均编码时间, 平均编码长度
3.844798545478653e-05, 65.56521739130434
4.8214876199070414e-05, 106.8913043478261
4.5401772174457426e-05, 69.10526315789474
4.6999707531732694e-05, 78.82608695652173
4.050331106721483e-05, 90.63934426229508
4.167928832757155e-05, 78.76315789473684
3.8990126134459876e-05, 75.9
5.22516808000928e-05, 136.05
4.287761078294377e-05, 83.9423076923077
4.02039446788799e-05, 60.76470588235294
4.716735609894291e-05, 119.1
4.404133354020639e-05, 111.6842105263158
4.473320469869255e-05, 115.17647058823529
4.318091221627472e-05, 103.4090909090909
3.874476363019245e-05, 93.5
4.073972544394249e-05, 85.29729729729729
3.518320578896538e-05, 90.65384615384616
4.40891832113266e-05, 99.70833333333333
4.415424053485577e-05, 88.78260869565217
4.7187365018404446e-05, 95.31818181818181
4.3880568508310964e-05, 105.64864864864865
4.185286543315783e-05, 82.6829268292683
5.159021752826706e-05, 84.88888888888889
4.010280995506949e-05, 90.66666666666667
4.1661691818973256e-05, 90.20408163265306
4.173042391663167e-05, 74.58666666666667
4.1944543017616756e-05, 62.88135593220339
4.956983444490975e-05, 83.875
4.340529105688358e-05, 84.70833333333333
4.140129595091849e-05, 72.5
4.327794005289655e-05, 80.1584699453552
4.4001839917874856e-05, 107.43575418994413
4.309523302127413e-05, 79.34640522875817
3.9726311254605056e-05, 72.23584905660377
3.9032782182327183e-05, 85.98843930635839
4.203350931586256e-05, 110.07317073170732
4.21632639004773e-05, 65.24166666666666
3.896615444085537e-05, 71.78571428571429
4.510756027284547e-05, 80.5576923076923
3.994954965668432e-05, 72.98113207547169
4.2182607628659116e-05, 72.18518518518519
4.273078937268915e-05, 67.08403361344538
4.324715841612559e-05, 85.76923076923077
4.6120701793296564e-05, 151.83157894736843
4.5936825600537387e-05, 72.72727272727273
4.703532876590456e-05, 87.45893719806763
4.577701789322899e-05, 73.46666666666667
4.4094773141761314e-05, 75.0
4.216450363842409e-05, 60.872727272727275
4.375695714632581e-05, 59.74825174825175
4.750270434100218e-05, 75.36496350364963
4.5120087446522e-05, 56.258426966292134
4.159327354370697e-05, 55.43859649122807
4.552245389990337e-05, 58.233333333333334
5.063786767992155e-05, 57.292929292929294
4.4302411111431854e-05, 73.83673469387755
4.5078445530537536e-05, 77.4090909090909
4.6538731454790265e-05, 77.33333333333333
4.111071562821092e-05, 68.69158878504673
4.5873330347757144e-05, 62.95652173913044
4.36939917224373e-05, 58.2962962962963
4.465048120293281e-05, 60.625
4.3405530540287174e-05, 112.37931034482759
4.257083644528361e-05, 56.333333333333336
4.819781950230572e-05, 68.23809523809524
4.229970700502652e-05, 53.31884057971015
3.7644274681664784e-05, 76.3
4.87242186333332e-05, 79.42307692307692
4.1675673188626354e-05, 78.4
4.553152515472775e-05, 100.27272727272727
4.348174977455158e-05, 55.674418604651166
4.670528517761683e-05, 82.39189189189189
4.738111139274751e-05, 74.23913043478261
3.997770216210319e-05, 60.61038961038961
4.1204478543666926e-05, 56.145161290322584
4.6522584870631594e-05, 158.5185185185185
4.569523314990926e-05, 62.12021857923497
4.422909174209986e-05, 61.21666666666667
4.0300854041384756e-05, 73.84745762711864
4.0970306139875246e-05, 79.15
4.654326593832849e-05, 102.35714285714286
4.102041639548548e-05, 58.21875
6.464787249295216e-05, 68.61538461538461
4.0595217197982764e-05, 68.74853801169591
4.310575907662411e-05, 55.18867924528302
4.914883086228059e-05, 86.27586206896552
4.272703762556969e-05, 105.325
4.0989165798989186e-05, 111.63333333333334
4.473713545396821e-05, 109.83561643835617
4.380709608070313e-05, 76.21481481481482
4.493414660275207e-05, 76.33720930232558
4.15490223811223e-05, 63.93617021276596
4.3813424084508364e-05, 77.40860215053763
3.978926835097666e-05, 67.5
3.826992424655723e-05, 79.6875
4.0227857728799186e-05, 67.73333333333333
4.134871510923387e-05, 70.88095238095238
4.3751900656181466e-05, 72.93333333333334
4.0424093803835296e-05, 99.77272727272727
4.1452511755093545e-05, 66.4090909090909
4.620821861574637e-05, 79.96
4.437519953801082e-05, 151.77777777777777
4.95247124540245e-05, 105.93181818181819
4.474986535290403e-05, 133.91525423728814
5.127266791967854e-05, 131.28205128205127
4.4517014354181744e-05, 117.08510638297872
4.973115530301097e-05, 104.68253968253968
4.517209836319525e-05, 119.77551020408163
4.6267123519715245e-05, 121.26923076923077
4.86139656122898e-05, 87.64285714285714
4.339052571190728e-05, 74.54098360655738
4.894547970243381e-05, 123.01886792452831
4.434355971431753e-05, 74.6
5.045168673295861e-05, 95.70535714285714
4.669081022221435e-05, 103.70454545454545
4.781274119638508e-05, 73.4390243902439
4.598756981788885e-05, 72.66
4.5394548312390696e-05, 62.421052631578945
4.49949575170743e-05, 79.28571428571429
4.9117443977322155e-05, 88.8157894736842
4.516278077314428e-05, 110.26666666666667
4.690494916708803e-05, 130.53125
4.7192360836753575e-05, 109.29347826086956
5.805649068050772e-05, 70.28333333333333
4.422264385738404e-05, 146.94871794871796
4.70979298667078e-05, 75.95652173913044
4.453893417029989e-05, 98.26315789473684
4.545025147957073e-05, 143.57142857142858
4.4289107909135473e-05, 98.25373134328358
4.218486062223509e-05, 126.06521739130434
