剧本,脚本
贪污腐化,贪赃枉法
道尽途穷,山穷水尽
纠合,齐集
精华,精深
打斗,斗殴
活眼活现,活龙活现
毫厘,豪厘
屏弃,汉典
宏愿,洪志
天旋地转,头晕目眩
慌乱,慌忙
大是大非,是非曲直
井然有序,井井有条
年数,年纪
区划,区画
坚强,鉴定
失败,退步
前提,条件
是是非非,谁是谁非
大刀阔斧,大刀阔斧
为非作歹,为鬼为蜮
无所忌惮,无所畏惮
大势已去,每况愈下
台甫,大名
慢腾腾,慢悠悠
得陇望蜀,贪猥无厌
通盘,全面
减削,减少
俊杰,豪杰
悼惜,痛悼
见风使舵,顺水推舟
九故十亲,亲朋好友
深奥,深沉
洪水猛兽,祸不单行
为所欲为,胡作非为
亲切,亲热
毛骨竦然,毛骨悚然
恼怒,气恼
杀鸡吓猴,杀鸡骇猴
大醉,酣醉
骑虎难下,进退维谷
面折庭争,面折廷争
捐赠,救济
娘舅,舅父
含义,含意
围绕,盘绕
书信,书函
四肢百体,四肢百骸
团圆,团聚
使女,女仆
失信,爽约
死灭,亡故
摄取,接收
情义,情意
将功折罪,将功补过
首脑,首长
全部,具体
齐齐整整,井井有条
求教,请教
杀人如草,杀人如蒿
爽直,爽快
和悦,和蔼
三言两语,片纸只字
天下第一,天下无敌
竞争,角逐
大权独揽,独断专行
囚首垢面,蓬头垢面
所向无敌,降龙伏虎
手忙脚乱,束手无策
箪食壶浆,食箪浆壶
望风而逃,闻风而逃
天井,庭院
多如牛毛,数见不鲜
同宗,同族
恩典,恩泽
停止,松手
荆钗布裙,锦衣玉食
捐残去杀,胜残去杀
浸染,教化
建筑,建设
宁为玉碎,宁死不屈
无忧无虑,无牵无挂
简易,简单
惟妙惟肖,维妙维肖
猛然,蓦然
敬重,敬爱
抵赖,推托
惟利是图,惟利是趋
蓦地,蓦然
宁神,定心
花天酒地,穷奢极欲
危如累卵,事危累卵
佩服,敬佩
怀恋,思念
拘束,谨慎
黑沉沉,黑黝黝
纳履踵决,纳屦踵决
戴笠乘车,贫贱之交
上古,太古
仆从,奴婢
火烈,火热
岌岌可危,急不可待
洞幽烛微,洞隐烛微
施行,践诺
奖励,奖赏
东食西宿,唯利是图
无动于中,无动于衷
鼠肚鸡肠,鼠腹鸡肠
少私寡欲,清心寡欲
还淳反朴,还醇返朴
品行,品质
秘诀,诀窍
刀山剑树,刀山火海
担搁,耽搁
锦阵花营,锦阵花营
树范,示范
地覆天翻,天崩地裂
家常便饭,家常茶饭
荒诞无稽,荒谬绝伦
神怪,荒诞
侵犯,加害
尸骸,尸骨
妻子,太太
牵挂,牵记
推襟送抱,送抱推襟
四海为家,无家可归
大慈大悲,和蔼可亲
努力,起劲
投递,送达
猴头猴脑,虎头虎脑
灰心丧意,灰心短气
疾言厉色,疾言怒色
脑子,脑筋
强抢,抢夺
天禀,天赋
举世瞩目,无人不晓
货真价实,名副其实
书柜,书橱
书牍,翰札
切脉,评脉
头脑,脑筋
鸡鸣犬吠,鸡鸣狗吠
亲切,亲近
时机,火候
威严,稳重
说长道短,说长论短
商量,接洽
怀念,景仰
怀疑,狐疑
徒然,忽地
滴水不漏,颠扑不破
突然,刹那
登峰造极,叹为观止
炯炯有神,目光炯炯
浓妆,盛饰
刀下留人,刀下留情
上当,受骗
同乡,家园
委弃,抛弃
死亡,灭亡
交壤,交界
惶恐,惊悸
河清海宴,河清海晏
内幕,秘闻
剖析,解析
史册,史籍
磨炼,检验
胆战心惊,胆战心慌
俗语,俗谚
披坚执锐,荷枪实弹
家徒壁立,家徒壁立
私事,私务
世界,寰宇
位置,地位
情义,交谊
乞求,请求
去伪存真,沙里淘金
善人,好人
明白,通达
糊涂,迷乱
借故,托辞
轻佻,轻浮
丁宁,叮属
推度,推想
仆众,奴才
欢快,欢畅
聚积,会萃
凄楚,凄苦
急切,火急
京城,京师
疏解,解释
大言不惭,滔滔不绝
秘密,秘籍
完全,无缺
东扯西拉,东扯西拽
问候,问好
倾泄,倾注
劈头,匹面
大雅,精致
黔首,黔黎
拒谏饰非,饰非拒谏
勤能补拙,驽马十驾
简直,具体
骇人听闻,骇人闻见
南辕北辙,天南地北
东南之宝,东南竹箭
坏蛋,恶汉
密切,亲热
清风亮节,清风高节
团结,配合
去本就末,去本趋末
遁辞,饰词
灰身粉骨,灰躯糜骨
停止,撒手
无关紧要,无关大局
怀念,怀想
经过,颠末
东扶西倒,东歪西倒
地利人和,得天独厚
敏捷,精巧
九牛一毛,九牛一毫
委派,托付
亭台楼阁,琼楼玉宇
疏松,蓬松
倒持干戈,倒持泰阿
水米无交,水米无干
三番两次,三番五次
跌价,降价
推己及人,身临其境
文质彬彬,温文尔雅
动乱,动荡
惊叹,惊羡
平时,普通
丢弃,抛弃
忽视,大意
坚定,矍铄
去暗投明,弃暗投明
倒行逆施,大逆不道
秋毫无犯,鸡犬不惊
四平八稳,面面俱到
摩顶放踵,胼手胝足
饰辞,托辞
内行,能手
讨教,请示
酒酣耳热,酒醉饭饱
唾地成文,脱口成章
天花乱坠,花言巧语
拖延,逗留
怯弱,懦弱
悔过自责,迷途知返
侵害,加害
事故,事情
鸡犬不宁,鸡飞狗走
红颜薄命,佳人薄命
墨守成规,守株待兔
浑然天成,混然天成
杜门不出,韬光隐晦
上任,就职
大展宏图,大展经纶
评头论脚,评头论足
朦胧,含糊
蓦地,忽然
调动,调理
沮丧,颓唐
偶尔,权且
闪动,闪烁
同床异梦,貌合心离
丁宁,派遣
得心应手,轻车熟路
偏私,偏袒
巧言令色,巧舌如簧
惟妙惟肖,唯妙唯肖
遣意,遣词
坚持不懈,动心忍性
横眉怒目,横眉竖眼
娓娓动听,娓娓而谈
浓厚,深刻
聘用,聘请
计日以俟,计日以期
文雅,漂后
天涯海角,山陬海澨
物色,索求
匍匐,爬行
无边无沿,无边无涯
气派,魄力
审察,端相
得救,解围
声色狗马,声色犬马
溺爱,疼爱
清楚,清爽
胡里胡涂,迷迷糊糊
殚精竭虑,煞费苦心
对换,对调
熟手,能手
浸染,陶染
目瞪口张,目瞪口结
唾手,随手
动机,年头
扭转,挽回
漆黑一团,黑天摸地
漂荡,飘舞
铁案如山,铁证如山
冒失,玩忽
深更半夜,黑更半夜
拒绝,断绝
合营,合作
轻徭薄税,轻赋薄敛
火上加油,火上浇油
讨价,还价
神气十足,神气活现
切磋琢磨,取长补短
往往,经常
叫唤,叫喊
幕燕釜鱼,幕燕鼎鱼
无味,无聊
气候,气象
蛮横,骄横
含苞欲放,含苞待放
带动,启发
前方,火线
搔头弄姿,搔首弄姿
都城,首都
迫不及待,火烧眉毛
收缩,退缩
军备,武备
痛心,酸心
极其,极端
损坏,破格
颓丧,颓落
碎首糜躯,碎首縻躯
地久天长,海枯石烂
伪物,假货
和煦,温顺
虐待,迫害
绘声绘色,绘影绘声
三街六巷,街头巷尾
四郊多垒,四面楚歌
破碎,碎裂
蛮横,雕悍
旧交,旧友
街谈巷说,街谭巷议
含笑九泉,视死如饴
生僻,荒僻
急忙,即速
举动,手脚
精疲力竭,身心交病
晦涩,艰涩
匹夫沟渎,匹妇沟渠
回想,回顾
搅浑,混淆
季候,季节
缓解,缓和
明哲保身,洁身自好
疲困,疲惫
其他,其余
无边无际,浩瀚无垠
殚精极思,殚精极虑
挖苦,讥诮
敏捷,敏锐
黑灯下火,黑灯瞎火
混淆黑白,混淆是非
惊涛巨浪,惊涛骇浪
节略,节减
铜城铁壁,铜墙铁壁
勤奋,勤恳
体贴入妙,体贴入妙
黑沉沉,黑洞洞
教训,经验
问候,慰问
娇声娇气,娇里娇气
多多益办,多多益善
大众文学,民间文学
金色年华,豆蔻年华
顽固,顽强
物质,物资
狡诈,奸诈
久远,深远
恢弘,无边
申述,申诉
头昏眼花,头昏脑眩
熟寐,熟睡
气冲牛斗,气吞牛斗
天地长久,天崩地裂
疾言厉色,声色俱厉
排出,排除
耐心,耐烦
酒色之徒,酒色财气
全数,全盘
决计,顶多
强硬,强项
伸谢,道谢
凋敝,衰落
事故,事件
强嘴硬牙,能说会道
拘禁,拘系
丹青妙手,妙手回春
妄自尊大,目中无人
接受,接收
没精打采,萎靡不振
魂飞天外,魂飞魄散
会见,会晤
得罪,冒犯
明珠弹雀,大材小用
憨厚,敦厚
答应,订交
强制,强逼
伤害,欺负
担任,肩负
特征,特点
受阻,碰壁
疏漏,马虎
收买,收购
无可奈何,无如奈何
噩耗,噩讯
哈腰,弯腰
单人独马,单刀赴会
怒不可遏,怒气冲天
唯命是听,唯唯诺诺
十拿九稳,探囊取物
借字,借据
书写,誊录
听其自然,听天由命
欺善怕恶,欺软怕硬
疲乏,疲惫
戒备,堤防
倒持干戈,授人以柄
耳鬓厮磨,青梅竹马
凄厉,凄惨
千丝万缕,千头万绪
披头散发,蓬头垢面
济世安民,济世匡时
天气,气象
好像,宛若
怀珠抱玉,怀珠韫玉
松懈,和缓
弹尽援绝,弹尽粮绝
天堂地狱,天壤之别
无所顾忌,无所畏惮
宿怨,旧恨
紧急,危机
仆役,家丁
倾覆,推翻
情孚意合,情投意合
能言巧辩,巧舌如簧
满腹珠玑,满腹经纶
时机,机会
所向无敌,所向无前
点指画字,点纸画字
暮夜,黑夜
童衣,童装
念书,读书
卧底,间谍
难分难舍,难解难分
商号,市廛
尸横遍野,饿殍遍野
浓妆艳服,浓妆艳饰
食不知味,食不遑味
江郎才尽,江郎才掩
凋落,雕零
惶惶,惶遽
大惊小怪,见怪不怪
解救,调停
梦境,梦幻
破钞,花费
气呼呼,气冲冲
无所顾忌,无所畏忌
见机行事,随机应变
怒不可遏,怒火万丈
潜形匿迹,潜形谲迹
毛骨竦然,毛骨耸然
居心不良,居心叵测
书信,函件
当即,马上
位置,地址
丢失,丧失
建议,提出
失魂丧胆,失魂丧魄
揭晓,揭橥
签订,订立
勉力,激励
名山大川,锦绣河山
酸楚,酸涩
大言不惭,大张其词
东郭先生,好好先生
晶体,警觉
僧人,头陀
设备,建设
期望,冀望
失礼,无礼
偏差,谬误
假戏真做,弄假成真
手简,手翰
撒布,散布
贫无立锥,家徒四壁
泯灭,耗费
颠簸不破,颠扑不破
权利,权益
大汗淋漓,汗流浃背
建交,缔交
抬举,抬爱
减轻,减少
迁延,耽搁
会集,聚合
大腹便便,脑满肠肥
地方,所在
司理,经理
屏声息气,屏气慑息
大发雷霆,大肆咆哮
叫子,哨子
和暖,温暖
华而不实,弄虚作假
往复,往返
激发,激起
得不偿失,失之东隅
界限,鸿沟
肃然起敬,顶礼膜拜
邃晓,通达
屈膝,抵抗
女织男耕,男耕女织
甜睡,酣睡
东山再起,大张旗鼓
动听,美妙
生分,陌生
停当,妥帖
密语,耳语
诬害,诬陷
天翻地覆,时移俗易
俄顷,斯须
完善,完竣
技术,技艺
扼守,据守
全盘托出,和盘托出
清灰冷火,清灰冷灶
毛手毛脚,马马虎虎
瓦解,解体
丝丝入扣,环环相扣
精美,精深
千方百计,绞尽脑汁
河溓海夷,河溓海晏
宏壮,盛大
启程,起程
倾国倾城,绝世独立
区域,地区
明争暗斗,明修栈道
妙想天开,胡思乱想
平庸,平方
聚聚,聚餐
偷活,贪生
全力以赴,全心全意
戴天蹐地,戴清履浊
毫发不爽,恰如其分
万众一心,聚沙成塔
平坦,平展
恩惠,恩泽
浩大,浩瀚
上了贼船,误入歧途
精晓,精通
沁人心脾,神清气爽
道歉,陪罪
溯流穷源,溯流追源
时不再来,时不我与
铭刻,铭记
商量,洽商
韬光灭迹,韬迹隐智
上网,上钩
贫乏,贫苦
桑间之音,桑间濮上
投降,顺服
回心转意,死心塌地
岁不我与,时不我待
水磨工夫,磨杵成针
舍己从人,舍己就人
扑朔迷离,迷离扑朔
伤害,危害
偷香窃玉,拈花惹草
商店,店铺
缄口不言,默不作声
举世瞩目,举世闻名
牵扯,牵涉
式样,模样
破绽,缺陷
情况,情景
施礼,见礼
和煦,和畅
丢盔卸甲,丢盔抛甲
望尘莫及,马尘不及
华而不实,好高骛远
委托,托福
凋谢,凋射
潜精研思,潜精积思
取消,打诨
岌岌可危,气息奄奄
事务,事宜
搜求,搜寻
祸国殃民,蠹国害民
穷困潦倒,绳床瓦灶
衾影无惭,问心无愧
培育,教育
没精打采,无精打彩
推卸,推脱
停战,停火
慎重其事,谨慎从事
假使,尽管
身体,身段
试验,试验
匠心独具,匠心独运
清静,平静
悔恨,悔悟
天花乱坠,胡说八道
强人,铁汉
接济,缓助
迷路,迷途
铁杵成针,铁杵磨针
念兹在兹,念念不忘
怒火中烧,怒火万丈
贪求无厌,贪求无已
景象,地步
胆怯,惧怕
时常,每每
冒昧,唐突
天后,平明
耳食之论,耳食之谈
扫数,全盘
事不宜迟,当务之急
骇人听闻,骇人视听
酒池肉林,穷奢极侈
平淡,平常
吐露,揭发
怒冲冲,气汹汹
视死如归,贪生怕死
接连,继续
轻慢,怠慢
头昏眼花,目眩头昏
汗如雨下,汗流浃背
恩仇,恩怨
囊萤映雪,孙康映雪
低眉顺眼,低首下心
同利相死,同恶相济
同伴,朋侪
打倒,推倒
片刻,斯须
火油,煤油
唆使,挑拨
千回百折,千回百转
灯红酒绿,酒绿灯红
仆人,家丁
受愚,受骗
情随事迁,水涨船高
气贯长虹,气吞山河
饥不择食,饥肠辘辘
兢兢业业,敬小慎微
神出鬼没,神妙莫测
猛虎出山,猛虎下山
得意洋洋,忘乎所以
代办,代庖
嫁犬逐犬,嫁狗逐狗
万古流芳,名垂青史
军器,军械
贫嘴贱舌,尖酸刻薄
呐喊,大喊
亡国之音,靡靡之音
特出,特别
忘掉,忘记
漫溢,迷漫
大众,大家
偏僻,肃静
无所作为,无所用心
完稿,脱稿
带月披星,披星带月
能伸能屈,能屈能伸
浓妆艳抹,涂脂抹粉
同年而语,同日而言
平定,平息
五彩斑斓,五彩缤纷
花卉,花草
诘责,谴责
端方,端正
聚会,聚首
签署,订立
望而却步,缩手缩脚
荒废,荒芜
屈折,盘曲
拖泥带水,拖拖拉拉
无望,绝望
大名鼎鼎,鼎鼎大名
大路,大道
到场,加入
急躁,焦躁
屏绝,绝交
完全,实足
失信,失约
难受,难堪
惬心,满意
妥贴,得当
侵害,侵吞
卖身投靠,奴颜媚骨
得意,舒服
疏忽,松弛
完好,完备
挥泪,洒泪
即使,尽管
吞吞吐吐,结结巴巴
删除,简略
满不在乎,漫不经心
拘束,拘谨
闪烁其词,模棱两可
极恶穷凶,穷凶极恶
哗啦啦,哗喇喇
那边,那里
侵占,抢掠
截长补短,集思广益
代人受过,火中取栗
健全,健康
局促,短促
失守,失陷
同时,同期
私人,私家
味同嚼蜡,味如嚼蜡
太平,平和
剽悍,强悍
通顺,顺心
退换,调换
妥首帖耳,见利思义
谋划,打算
俭朴,简扑
家长礼短,家长里短
东洋,东瀛
深恶痛绝,疾首蹙额
打趣,玩笑
麻痹大意,漫不经心
完毕,竣事
伺候,侍候
微言大义,微言大谊
降下,降落
机敏,机警
女中豪杰,巾帼英雄
同床异梦,貌合神离
