剧本,脚本
局限,节制
救过不暇,救过不给
急忙,急遽
积存,积聚
抉目东门,抉目吴门
金科玉律,金科玉条
寂寞,寂寥
济世安民,济世安邦
纠集,集结
教会,教化
井底之蛙,井底鸣蛙
旧念复萌,旧病复发
街谈巷语,街谭巷议
教会,教养
戒备,警戒
绝无仅有,见所未见
警告,警戒
交兵,交手
经世之才,经济之才
奸滑,奸猾
骄奢淫佚,骄奢淫逸
绝无仅有,举世无双
举重若轻,精明强干
叫苦不迭,叫苦连天
寂然,寂寥
交代,交接
济困扶危,见义勇为
家常里短,家长里短
佶屈聱牙,诘诎聱牙
减省,节减
僵化,僵硬
纠缠,胶葛
坚挺,坚硬
奸滑,狡滑
精粹,精练
教悔,教育
紧张,紧绷
家眷,眷属
俭仆,节俭
兼听则明,集思广益
坚强不屈,坚贞不屈
健壮,健康
境遇,际遇
假冒,假装
鸠占鹊巢,鸠居鹊巢
见利忘义,见钱眼开
禁锢,羁系
进度,进程
俭约,节流
检讨,检验
借单,借条
经文纬武,经武纬文
尽头,极端
简易,简陋
诘曲聱牙,诘诎聱牙
鸡毛蒜皮,鸡零狗碎
简洁,简略
记叙,记述
精干,精悍
尽然,居然
精密,精细
积少成多,聚沙成塔
井然有序,井然有条
井底之蛙,井底蛤蟆
坚定不移,坚贞不渝
锦绣山河,锦绣江山
惊奇,惊讶
奸刁,狡猾
阶级,阶级
举一废百,举措失当
教授,讲授
解放,解脱
接办,接手
狡诈,狡猾
焦灼,焦炙
绝世佳人,绝色佳人
尖刻,尖酸
经久不息,经久不衰
精华,精深
井然有序,井井有条
坚强,鉴定
减削,减少
捐赠,救济
将功折罪,将功补过
竞争,角逐
荆钗布裙,锦衣玉食
浸染,教化
建筑,建设
简易,简单
敬爱,敬重
拘束,谨慎
岌岌可危,急不可待
奖励,奖赏
锦阵花营,锦阵花营
家常便饭,家常茶饭
疾言厉色,疾言怒色
鸡鸣犬吠,鸡鸣狗吠
交壤,交界
家徒壁立,家徒壁立
京城,京师
具体,简直
九牛一毛,九牛一毫
惊叹,惊羡
坚定,矍铄
酒酣耳热,酒醉饭饱
鸡犬不宁,鸡飞狗走
计日以俟,计日以期
叫唤,叫喊
极其,极端
俭约,节约
旧交,旧友
街谈巷说,街谭巷议
急忙,即速
季候,季节
惊涛巨浪,惊涛骇浪
节略,节减
救援,救济
教训,经验
娇声娇气,娇里娇气
狡诈,奸诈
酒色之徒,酒色财气
拘禁,拘系
接受,接收
借字,借据
济世安民,济世匡时
江郎才尽,江郎才掩
聚积,聚会
健壮,结实
居心不良,居心叵测
揭晓,揭橥
晶体,警觉
减轻,减少
激发,激起
建立,建设
技术,技艺
精美,精深
聚聚,聚餐
精晓,精通
景仰,敬重
举世瞩目,举世闻名
假使,尽管
匠心独具,匠心独运
接连,继续
饥不择食,饥肠辘辘
兢兢业业,敬小慎微
嫁犬逐犬,嫁狗逐狗
军器,军械
狡黠,奸诈
聚首,聚会
急躁,焦躁
即使,尽管
拘束,拘谨
截长补短,集思广益
健全,健康
俭朴,简扑
家长礼短,家长里短
降下,降落
机敏,机警
拒狼进虎,拒虎进狼
桀傲不驯,桀骜不逊
教室,讲堂
俭仆,俭省
俊俏,俊秀
绝世佳人,绝代佳人
教学,教导
假心,假意
警员,警察
经书,经籍
艰难曲折,艰难险阻
惊恐,惊悸
捷足先登,疾足先得
精华,精炼
尽心竭力,精益求精
纠集,集中
叫嚣,叫喊
激发,激励
井渫不食,井渫莫食
津津乐道,津津有味
靖言庸违,靖谮庸回
惊恐,惊愕
解放,解决
较劲,较量
教诲,教养
金兰之交,金兰之友
惊弓之鸟,惊弦之鸟
家鸡野雉,家鸡野鹜
焦心,焦虑
决断,决议
纠葛,胶葛
交战,交锋
建筑,建造
尽头,绝顶
敬老慈幼,敬老爱幼
经天纬地,经纬天下
胶着,胶著
迥乎不同,迥然不同
聚合,集合
坚韧不拔,坚贞不屈
孑然一身,踽踽独行
佳作,杰作
精炼,精炼
敬仰,敬佩
兼权尚计,兼权熟计
箕引裘随,箕裘相继
见解,见识
结局,结束
借故,借端
进善惩奸,进善惩恶
教师,教练
揭破,揭穿
筋疲力尽,精疲力竭
酒席,酒筵
借坡下驴,见风使舵
教师,教员
坚强,坚决
锦上添花,精益求精
积存,积贮
皎洁,皎白
禁不住,禁不起
精美,精致
揭示,揭露
见利忘义,监守自盗
加官进爵,加官进禄
寂寞,寂静
嘉言善行,嘉言懿行
筋疲力竭,精疲力尽
精妙绝伦,精美绝伦
姣好,俊秀
既往不咎,既往不究
决断,决计
娇嫩,娇贵
窘况,窘迫
焦心,交集
几多,几许
街谈巷语,街谈巷谚
惊惶,惊慌
简捷,简略
敬仰,敬慕
见风转舵,见风使舵
继承,接收
急流,激流
经世之才,经国之才
紧急,进攻
就职,接事
佳构,精品
借款,借钱
简洁,简练
抉目胥门,抉目吴门
金相玉式,金相玉质
记实,记录
积甲如山,积甲山齐
决心,决计
酒宴,酒筵
浃沦肌髓,浃髓沦肌
极度,绝顶
基本,基础
居高临下,建瓴高屋
家喻户习,家谕户晓
斤斤计较,计较锱铢
拘禁,拘捕
技巧,技能
接二连三,接连不断
疾言厉色,疾言遽色
金科玉律,金口玉言
见多识广,见闻广博
尽心尽力,竭尽全力
精巧,精良
金鼓连天,金鼓齐鸣
价格,价钱
家无担石,家无斗储
俊俏,姣美
截止,结果
进退中度,进退中绳
锦团花簇,锦簇花团
借风使船,见机行事
解说,解释
结余,节余
进可替不,进可替否
纠葛,纠纷
嫁狗随狗,嫁狗逐狗
绝少分甘,绝甘分少
坚毅,坚贞
尽善尽美,尽如人意
肩舆,轿子
金石之言,金石良言
僵李代桃,将李代桃
娇傲,骄慢
举世无敌,举世无双
兼收并蓄,兼而有之
检束,检点
坚忍,鉴定
金玉良言,金石良言
坚忍,坚实
建功立业,建功立事
疾苦,艰苦
金碧辉映,金碧辉煌
尽职,尽责
简明,精练
讥笑,讥讽
骄侈暴佚,骄侈淫虐
惊惶失措,惊惶失措
捷报频传,节节胜利
家喻户晓,尽人皆知
建壮,结实
俭朴,简谱
桀傲不恭,桀骜不恭
积岁累月,积年累月
兼包并容,兼容并包
解散,结束
计策,计谋
洁身自好,洁身自爱
鸡犬不宁,鸡飞狗跳
谨小慎微,敬小慎微
见几而作,见几而作
京都,京师
较亲,较胜
尽心竭力,尽力而为
疆土,疆域
精巧,精制
惊惶失措,惊惶无措
减削,节省
焦灼,焦急
艰巨,艰难
进犯,进攻
嫉妒,嫉恨
骄佚奢淫,骄泰淫泆
极刑,极刑
疾苦,坚苦
惊惧,惊慌
交战,接触
界线,界线
纪念,记忆
几何,几许
剧变,巨变
降尊纡贵,降贵纡尊
家传户诵,家传户颂
竞赛,角逐
家乡,家园
集腋成裘,聚沙成塔
紧急,急迫
交友,结交
剧烈,激烈
惊奇,惊异
寄予,寄托
借势,借重
坚苦卓绝,艰苦卓绝
吉星高照,吉祥如意
机缘,机遇
交织,交错
拘押,拘捕
价值千金,价值连城
锦囊佳制,锦囊佳句
简政放权,精兵简政
计伐称勋,计功程劳
家书,家信
交口称誉,交口称赞
靖言庸违,靖言庸回
建立,建树
坚固,结壮
记取,记着
交班,接班
交头接耳,街谈巷议
警惕,机警
诘屈磝碻,诘屈聱牙
迥乎不同,截然不同
俊丽,俊美
及锋而试,捷足先得
机器,机械
谨小慎微,谨言慎行
娇傲,骄矜
焦金流石,燋金烁石
坚持不懈,坚持不渝
结识,结交
机灵,精灵
决一死战,决一雌雄
讲解,讲授
精粹,精彩
鸡皮鹤发,鸡肤鹤发
聚拢,集合
缉拿,缉捕
减价,降价
荆棘塞途,荆棘载途
艰辛,艰苦
假如,假设
敬而远之,敬若神明
军人,甲士
接二连三,接踵而至
奖励,嘉勉
见德思齐,见贤思齐
交恶,决裂
坚定不移,坚忍不拔
精湛,精熟
憬悟,觉悟
敬授人时,敬授民时
就职,就任
倔强,坚决
今天,即日
桀敖不驯,桀骜不驯
巨头,巨擘
计划,计议
技巧,伎俩
加剧,加重
假如,假诺
晶体,鉴戒
就义,捐躯
惊心动魄,惊魂动魄
监督,监视
今是昔非,今是昨非
机灵,机智
荆棘丛生,荆棘载途
惊愕失色,惊慌失措
叫嚣,叫嚷
结拜,皎白
精明,精通
觊幸,觊觎
骄贵,骄矜
积蓄,积贮
接续,继续
截止,截至
举目无亲,踽踽独行
眷恋,眷顾
决绝,拒绝
假充,假意
骄奢放逸,骄奢淫泆
机关,结构
禁止,禁绝
检修,检验
精心,经心
精力,精神
降临,驾临
举动,举止
急公好义,见义勇为
觊望,觊觎
决定,决议
九囿,九有
驾御,驾驭
诘问,诘难
讥刺,讥讽
坚壁清野,焦土政策
局限,局部
具备,具有
惊耳骇目,惊见骇闻
金屋藏娇,金屋贮娇
结识,结子
鸠僭鹊巢,鸠居鹊巢
惊惶,惊惶
浆酒藿肉,浆酒霍肉
计日以待,计日以期
救援,接济
拘留,拘系
佳音,捷报
加官晋爵,金榜题名
拘押,监管
家散人亡,家破人亡
见机而作,见机行事
骄傲,骄气
决斗,纠纷
抉择,拣选
聚集,集会
降尊临卑,降贵纡尊
决心,决意
金口御言,金口玉言
经久不息,经年累月
巨头,巨子
急脉缓受,急脉缓灸
接受,接管
警告,警备
见死不救,见溺不救
惊讶,惊讶
嘉言善状,嘉言懿行
决一胜负,决一雌雄
觉醒,觉悟
借刀杀人,借剑杀人
警句,警语
借券,借条
经过,进程
极力,竭力
进退失据,进退无据
杰出,精采
佳丽,佳人
记住,记着
兼收并蓄,兼收并畜
交往,交游
戒备,警卫
经历,经验
极力,接力
进退失据,进退两难
鉴别,鉴识
坚韧,坚实
尽力,接力
精辟,简练
禁得住,禁得起
积少成多,涓滴成河
绝壁,绝对
借贷,假贷
进退失踞,进退无据
久惯牢成,久惯老诚
揭发,揭穿
结局,究竟
九死一生,绝处逢生
接头,接洽
决绝,绝交
酒酣耳热,酒足饭饱
胶柱调瑟,胶柱鼓瑟
积蓄,积累
急不及待,急不可待
结好,结盟
家眷,家族
景星凤皇,景星庆云
基本,基本
激昂,激越
间不容息,间不容缓
居丧,居忧
假使,假若
急于星火,急如星火
进展,进步
记载,记录
进退迍邅,进退两难
剿灭,歼灭
决斗,决战
焦心劳思,焦心热中
久别重逢,旧雨重逢
价格,价值
骏骨牵盐,骥服盐车
紧记,谨记
计日以待,计日而待
教学相长,兼容并包
局面,景象
搅动,搅拌
加快,加速
九九归一,九九归原
交换,交流
加膝坠泉,加膝坠渊
加倍,加强
计功补过,将功补过
救急,济急
尽心,经心
建壮,健旺
及时行乐,极乐世界
进入,进来
缄默,静默
见危授命,见危致命
积劳成疾,鞠躬尽瘁
敬老怜贫,敬老恤贫
局促不安,跼蹐不安
剑拔弩张,箭拔弩张
酒席,酒菜
精壮,精悍
见财起意,见钱眼开
娇气,娇贵
精妙绝伦,精彩绝伦
讲明,解释
进犯,晋级
锦营花阵,锦阵花营
距人千里,拒人千里
借客报仇,借身报仇
机关,架构
忌日,忌辰
缄口无言,缄口不言
鸡犬不惊,鸡犬无惊
检核,检点
居利思义,见利思义
居功自傲,居功自恃
简捷,简便
积重难返,积非成是
借鉴,鉴戒
继古开今,继往开来
急竹繁丝,急管繁弦
机密,机要
鲸涛鼍浪,鲸波鼍浪
检讨,检查
减轻,减弱
积攒,积累
惊慌失色,惊慌失措
计日以俟,计日而俟
家给人足,家给民足
记忆,记忆
稽察,稽查
激扬清浊,激浊扬清
吉光片羽,吉光片裘
经过,经由
迥然相异,截然不同
计较,较量
解职,解聘
洁净,洁白
进退维亟,进退维谷
家无担石,家无儋石
见怪,见责
境地,境界
急急巴巴,急急忙忙
监仓,监牢
监仓,监狱
急不及待,急不可耐
揭发,检举
矜智负能,矜能负才
奸巧,奸险
嚼穿龈血,嚼齿穿龈
尽忠报国,精忠报国
纠合,结合
急促,急切
尽兴,尽情
惊喜欲狂,惊喜若狂
举不胜举,举不胜举
急人之困,急人之难
救火投薪,救焚投薪
今非昔比,今是昨非
举目四望,极目远眺
桀黠,狡滑
脚不沾地,脚不点地
举直措枉,举直错枉
见仁见智,见智见仁
交卸,交接
洁己从公,洁己奉公
机会,机遇
金榜挂名,金榜题名
惊风怒涛,惊风骇浪
禁受,经受
借款,借债
激怒,激愤
节奏,节拍
娇纵,骄纵
交叉,交错
进取,进步
见机而作,见机而行
尖嘴薄舌,尖酸刻薄
交情,交谊
举报,检举
捐款,捐钱
娇生惯养,骄生惯养
惊才绝艳,惊采绝艳
结伙,结伴
即使,即便
坚甲利刃,坚甲利兵
际会风云,际遇风云
寄人檐下,寄人篱下
鸠僭鹊巢,鸠夺鹊巢
举办,进行
精力充沛,精神抖擞
借故,借口
坚苦,坚苦
家具,居品
艰苦创业,艰苦奋斗
精金美玉,精金良玉
藉口,借口
狡赖,狡辩
奸臣,奸贼
激动,激悦
救过不暇,救过不赡
急风暴雨,疾风暴雨
九囿,九州
居不重席,居不重茵
箕山之志,箕山之节
奸细,间谍
紧迫,急迫
吉利,吉祥
惊世震俗,惊世骇俗
景色,景象
计划,计算
警悟,警觉
艰难竭蹶,艰苦卓绝
矫强,矫情
坚苦卓绝,艰苦朴素
假途灭虢,假道灭虢
谨严,谨慎
江翻海搅,江翻海沸
精密,紧密
记载,纪录
警悟,警醒
饥荒,饥馑
救困扶危,救苦救难
酒池肉林,酒绿灯红
敬老慈幼,敬老慈少
借水推船,借水行舟
惊心吊胆,惊心悼胆
家传户诵,家传人诵
见精识精,见经识经
机关用尽,机关算尽
急风暴雨,急风骤雨
静谧,寂静
缄口结舌,噤若寒蝉
兢兢业业,脚踏实地
精诚团结,精诚所至
捐赠,捐献
家反宅乱,家翻宅乱
矫健,矍铄
节衣缩食,艰苦朴素
精力,精气
居功自傲,居功自满
景色,景观
军器,军火
借交报仇,借身报仇
坚韧不拔,精卫填海
积重难返,积习难改
嫁狗随狗,嫁鸡逐鸡
江郎才尽,江淹梦笔
借酒浇愁,借酒消愁
吉星高照,吉人天相
尖利,尖锐
岌岌可危,间不容发
积善,积德
祭奠,祭祀
惊喜交加,惊喜交集
尽忠报国,捐躯报国
夹击,夹攻
劫夺,劫掠
急速,即速
讲求,讲究
矫正,纠正
进退为难,进退双难
坚守,据守
吉光片羽,吉光凤羽
加紧,加强
监主自盗,监守自盗
见原,见谅
君主,君王
界线,界限
交织,交汇
竟然,居然
饥寒交切,饥寒交迫
捐身徇义,捐躯报国
嗟来之食,嗟来之食
剑拔弩张,箭在弦上
计穷势蹙,计穷势迫
继室,继配
景物,景致
将功折罪,将功赎罪
基脚,基面
假手于人,假力于人
江翻海扰,江翻海沸
揭底,揭短
景星麟凤,景星庆云
接棒人,接班人
极品,精品
缉获,缴获
嫉妒,忌妒
举办,举行
九死一生,劫后余生
骄恣,骄纵
矫枉过正,挢枉过正
计日程功,计日而待
桀敖不驯,桀骜难驯
觉醒,惊醒
棘地荆天,荆天棘地
境况,景况
教材,讲义
急竹繁丝,急拍繁弦
忌讳,禁忌
鞠躬尽力,鞠躬尽瘁
集腋成裘,集腋为裘
激劝,激励
家产,家当
揭箧担囊,揭箧探囊
鞠躬尽力,鞠躬尽力
居安思危,居安虑危
接纳,接管
佳话,嘉话
救世济民,救民水火
金石不渝,坚贞不渝
街坊四邻,街坊邻里
进入,加入
景遇,景况
戛玉敲金,戛玉锵金
脚印,脚迹
将心比心,将胸比肚
积羽沉舟,聚蚊成雷
巾帼英雄,巾帼须眉
距离,间隔
鸡飞狗叫,鸡飞狗跳
结尾,结果
寄存,寄放
酒肉兄弟,酒肉朋友
骄兵必败,骄者必败
假人辞色,假以辞色
金印紫绶,金章紫绶
忌惮,惧怕
监禁,监管
剑头一吷,剑首一吷
简朴,简陋
极目远望,极目远眺
劫数,劫运
介怀,介意
汲汲忙忙,汲汲皇皇
寄卖,寄售
几乎,简直
鲸波怒浪,惊涛骇浪
嫁奁,嫁妆
浃髓沦肌,浃髓沦肌
江河日下,江流日下
家属,眷属
浇漓,浇薄
家反宅乱,家烦宅乱
假定,假设
家境,家景
捐募,捐献
剪草除根,翦草除根
间隙,间隔
精准,精确
继而,进而
疾言倨色,疾言遽色
舅父,舅舅
精雕细琢,镌脾琢肾
家徒四壁,家贫如洗
借约,借据
讥嘲,讥诮
交往,交易
将错就错,积非成是
决定,决策
剿灭,剿除
井井有序,井井有绪
脚色,角色
见教,见示
举动,举措
今世,今生
将遇良才,将遇良材
祭奠,敬拜
诘责,诘难
交加,交集
减慢,降速
斤斤计较,鸡虫得失
九关虎豹,九阍虎豹
敬爱,敬服
皆大欢喜,尽如人意
颊上三毛,颊上三毫
骄傲,骄横
借使,假若
嘉奖,嘉勉
家支,家谱
戟指嚼舌,戟指怒目
检测,检查
急功近利,急于求成
佳兆,吉兆
将机就计,将计就计
进退无路,进退无门
矫健,矫捷
局面,局势
锦心绣口,锦心绣腹
金相玉式,金相玉映
贱人,贱货
节令,季节
积土成山,积年累月
诀窍,诀要
紧张,急急
节奏,节律
窘况,窘态
径情直行,径情直遂
阶层,阶级
僵持,坚持
结拜,结义
渐至佳境,渐入佳境
交纳,缴纳
近在咫尺,近在眉睫
惊涛巨浪,惊涛怒浪
家喻户晓,家弦户诵
简约,简单
接壤,交界
借尸还阳,借尸还魂
聚米为山,聚米为谷
